Date,Price,Open,High,Low,Vol.,Change %
2023-02-21,134.99,134.26,135.24,134.14,,0.57%
2023-02-22,134.9,135.01,135.07,134.36,,-0.07%
2023-02-23,134.7,134.88,135.38,134.48,,-0.15%
2023-02-24,136.46,134.73,136.53,134.06,,1.31%
2023-02-27,136.2,136.51,136.57,135.92,,-0.19%
2023-02-28,136.2,136.23,136.95,135.74,,0.00%
2023-03-01,136.16,136.22,136.48,135.26,,-0.03%
2023-03-02,136.76,136.17,137.11,136.01,,0.44%
2023-03-03,135.86,136.77,136.79,135.74,,-0.66%
2023-03-06,135.91,135.88,136.21,135.37,,0.04%
2023-03-07,137.14,135.94,137.21,135.55,,0.91%
2023-03-08,137.34,137.17,137.92,136.48,,0.15%
2023-03-09,136.14,137.35,137.38,135.95,,-0.87%
2023-03-10,134.98,136.14,137.01,134.11,,-0.85%
2023-03-13,133.18,134.98,135.04,132.28,,-1.33%
2023-03-14,134.22,133.19,134.91,133.03,,0.78%
2023-03-15,133.4,134.23,135.13,132.22,,-0.61%
2023-03-16,133.72,133.39,133.86,131.72,,0.24%
2023-03-17,131.79,133.75,133.78,131.56,,-1.44%
2023-03-20,131.31,132.49,132.65,130.54,,-0.36%
2023-03-21,132.49,131.32,132.64,131.03,,0.90%
2023-03-22,131.44,132.51,133.01,131,,-0.79%
2023-03-23,130.81,131.45,131.68,130.32,,-0.48%
2023-03-24,130.69,130.82,130.95,129.64,,-0.09%
2023-03-27,131.56,130.54,131.79,130.5,,0.67%
2023-03-28,130.86,131.57,131.62,130.4,,-0.53%
2023-03-29,132.84,130.89,132.89,130.76,,1.51%
2023-03-30,132.65,132.86,132.98,132.2,,-0.14%
2023-03-31,132.79,132.67,133.61,132.58,,0.11%
2023-04-03,132.41,132.99,133.76,132.2,,-0.29%
2023-04-04,131.69,132.42,133.18,131.52,,-0.54%
2023-04-05,131.31,131.7,131.86,130.64,,-0.29%
2023-04-06,131.76,131.32,131.91,130.77,,0.34%
2023-04-07,132.13,131.78,132.39,131.52,,0.28%
2023-04-10,133.6,132.13,133.89,131.83,,1.11%
2023-04-11,133.65,133.61,133.82,132.97,,0.04%
2023-04-12,133.12,133.71,134.05,132.74,,-0.40%
2023-04-13,132.56,133.14,133.41,132.02,,-0.42%
2023-04-14,133.77,132.58,133.87,132.17,,0.91%
2023-04-17,134.46,133.83,134.58,133.71,,0.52%
2023-04-18,134.09,134.45,134.71,133.86,,-0.28%
2023-04-19,134.69,134.12,135.14,133.94,,0.45%
2023-04-20,134.23,134.72,134.98,134.01,,-0.34%
2023-04-21,134.15,134.24,134.51,133.55,,-0.06%
2023-04-24,134.22,134.1,134.76,133.89,,0.05%
2023-04-25,133.71,134.25,134.5,133.37,,-0.38%
2023-04-26,133.66,133.72,133.95,133.01,,-0.04%
2023-04-27,133.94,133.68,134.21,133.22,,0.21%
2023-04-28,136.28,133.96,136.57,133.37,,1.75%
2023-05-01,137.48,136.3,137.54,136.19,,0.88%
2023-05-02,136.53,137.5,137.78,136.31,,-0.69%
2023-05-03,134.68,136.56,136.63,134.69,,-1.36%
2023-05-04,134.27,134.7,134.89,133.5,,-0.30%
2023-05-05,134.83,134.29,135.14,133.88,,0.42%
2023-05-08,135.08,134.82,135.3,134.64,,0.19%
2023-05-09,135.21,135.1,135.37,134.72,,0.10%
2023-05-10,134.34,135.23,135.49,134.11,,-0.64%
2023-05-11,134.54,134.36,134.85,133.74,,0.15%
2023-05-12,135.71,134.51,135.77,134.39,,0.87%
2023-05-15,136.11,135.61,136.33,135.6,,0.29%
2023-05-16,136.37,136.12,136.7,135.69,,0.19%
2023-05-17,137.67,136.39,137.72,136.3,,0.95%
2023-05-18,138.71,137.67,138.76,137.29,,0.76%
2023-05-19,137.95,138.73,138.74,137.43,,-0.55%
2023-05-22,138.6,138.03,138.72,137.49,,0.47%
2023-05-23,138.58,138.61,138.92,138.24,,-0.01%
2023-05-24,139.46,138.59,139.49,138.23,,0.64%
2023-05-25,140.05,139.48,140.26,138.82,,0.42%
2023-05-26,140.62,140.06,140.74,139.49,,0.41%
2023-05-29,140.44,140.69,140.92,140.11,,-0.13%
2023-05-30,139.79,140.45,140.95,139.57,,-0.46%
2023-05-31,139.34,139.81,140.39,139.23,,-0.32%
2023-06-01,138.79,139.35,139.97,138.46,,-0.39%
2023-06-02,139.94,138.79,140.08,138.6,,0.83%
2023-06-05,139.54,139.99,140.47,139.25,,-0.29%
2023-06-06,139.63,139.56,140.01,139.09,,0.06%
2023-06-07,140.11,139.64,140.26,139.02,,0.34%
2023-06-08,138.91,140.13,140.24,138.81,,-0.86%
2023-06-09,139.34,138.93,139.75,138.75,,0.31%
2023-06-12,139.6,139.4,139.77,139.06,,0.19%
2023-06-13,140.21,139.61,140.32,139.01,,0.44%
2023-06-14,140.09,140.2,140.28,139.28,,-0.09%
2023-06-15,140.27,140.08,141.52,139.94,,0.13%
2023-06-16,141.82,140.32,141.92,139.85,,1.11%
2023-06-19,141.98,141.81,142.07,141.44,,0.11%
2023-06-20,141.44,141.99,142.26,141.21,,-0.38%
2023-06-21,141.88,141.48,142.42,141.27,,0.31%
2023-06-22,143.11,141.89,143.26,141.61,,0.87%
2023-06-23,143.68,143.11,143.94,142.76,,0.40%
2023-06-26,143.5,143.57,143.73,142.94,,-0.13%
2023-06-27,144.07,143.51,144.22,143.27,,0.40%
2023-06-28,144.46,144.05,144.64,143.73,,0.27%
2023-06-29,144.77,144.49,144.92,144.13,,0.21%
2023-06-30,144.32,144.77,145.08,144.2,,-0.31%
2023-07-03,144.66,144.37,144.95,143.98,,0.24%
2023-07-04,144.45,144.7,144.72,144.2,,-0.15%
2023-07-05,144.64,144.48,144.76,144.08,,0.13%
2023-07-06,144.06,144.66,144.67,143.55,,-0.40%
2023-07-07,142.07,144.09,144.21,142.07,,-1.38%
2023-07-10,141.31,142.2,143.01,141.27,,-0.53%
2023-07-11,140.37,141.36,141.47,140.16,,-0.67%
2023-07-12,138.5,140.38,140.41,138.16,,-1.33%
2023-07-13,138.03,138.51,138.97,137.92,,-0.34%
2023-07-14,138.73,138.01,139.18,137.25,,0.51%
2023-07-17,138.71,138.76,139.42,138.01,,-0.01%
2023-07-18,138.81,138.71,139.15,137.7,,0.07%
2023-07-19,139.67,138.83,140.01,138.76,,0.62%
2023-07-20,140.07,139.69,140.51,139.11,,0.29%
2023-07-21,141.79,140.08,141.97,139.75,,1.23%
2023-07-24,141.44,141.69,141.82,140.75,,-0.25%
2023-07-25,140.9,141.47,141.75,140.85,,-0.38%
2023-07-26,140.21,140.89,141.19,139.93,,-0.49%
2023-07-27,139.44,140.23,141.34,138.77,,-0.55%
2023-07-28,141.15,139.45,141.19,138.07,,1.23%
2023-07-31,142.28,141,142.69,140.69,,0.80%
2023-08-01,143.32,142.31,143.56,142.2,,0.73%
2023-08-02,143.32,143.34,143.49,142.24,,0.00%
2023-08-03,142.54,143.33,143.9,142.06,,-0.54%
2023-08-04,141.75,142.57,142.89,141.55,,-0.55%
2023-08-07,142.49,141.8,142.62,141.52,,0.52%
2023-08-08,143.37,142.48,143.51,142.4,,0.62%
2023-08-09,143.72,143.38,143.8,143,,0.24%
2023-08-10,144.73,143.73,144.83,143.3,,0.70%
2023-08-11,144.96,144.73,145.06,144.42,,0.16%
2023-08-14,145.54,144.99,145.6,144.66,,0.40%
2023-08-15,145.57,145.56,145.88,145.1,,0.02%
2023-08-16,146.35,145.59,146.42,145.31,,0.54%
2023-08-17,145.83,146.36,146.57,145.62,,-0.36%
2023-08-18,145.37,145.86,145.89,144.93,,-0.32%
2023-08-21,146.17,145.34,146.41,145.14,,0.55%
2023-08-22,145.88,146.19,146.4,145.49,,-0.20%
2023-08-23,144.83,145.89,145.9,144.54,,-0.72%
2023-08-24,145.87,144.83,145.97,144.59,,0.72%
2023-08-25,146.41,145.84,146.64,145.73,,0.37%
2023-08-28,146.54,146.43,146.75,146.26,,0.09%
2023-08-29,145.87,146.55,147.39,145.67,,-0.46%
2023-08-30,146.24,145.9,146.59,145.56,,0.25%
2023-08-31,145.53,146.23,146.26,145.35,,-0.49%
2023-09-01,146.23,145.54,146.32,144.44,,0.48%
