Date,Price,Open,High,Low,Vol.,Change %
2023-05-25,9.5051,9.4563,9.5392,9.4433,,0.55%
2023-05-26,9.4039,9.5055,9.5144,9.4029,,-1.06%
2023-05-29,9.4267,9.407,9.4525,9.3913,,0.24%
2023-05-30,9.439,9.4338,9.4543,9.3984,,0.13%
2023-05-31,9.4766,9.4429,9.5194,9.4096,,0.40%
2023-06-01,9.4545,9.4812,9.5298,9.4444,,-0.23%
2023-06-02,9.33,9.463,9.4725,9.3215,,-1.32%
2023-06-05,9.3192,9.329,9.3635,9.3028,,-0.12%
2023-06-06,9.3039,9.3251,9.3624,9.2861,,-0.16%
2023-06-07,9.3354,9.3073,9.3744,9.2909,,0.34%
2023-06-08,9.324,9.3392,9.3661,9.309,,-0.12%
2023-06-09,9.2367,9.3333,9.3486,9.2295,,-0.94%
2023-06-12,9.2009,9.237,9.2785,9.1977,,-0.39%
2023-06-13,9.0401,9.2036,9.2207,9.0386,,-1.75%
2023-06-14,9.0936,9.0434,9.1523,9.026,,0.59%
2023-06-15,9.0501,9.0966,9.1285,9.0369,,-0.48%
2023-06-16,8.9965,9.0556,9.1024,8.9955,,-0.59%
2023-06-19,9.03,9.0066,9.0673,8.9938,,0.37%
2023-06-20,9.106,9.0377,9.1271,9.002,,0.84%
2023-06-21,9.0798,9.1106,9.142,9.0777,,-0.29%
2023-06-22,9.0706,9.083,9.1553,9.0676,,-0.10%
2023-06-23,9.1045,9.0738,9.1671,9.0555,,0.37%
2023-06-26,9.092,9.1165,9.1487,9.0555,,-0.14%
2023-06-27,9.0171,9.0961,9.1229,8.9992,,-0.82%
2023-06-28,9.0581,9.0195,9.1046,9.0048,,0.45%
2023-06-29,9.1325,9.0626,9.1414,9.0504,,0.82%
2023-06-30,9.1106,9.1375,9.1489,9.0898,,-0.24%
2023-07-03,9.0131,9.1179,9.1263,9.0127,,-1.07%
2023-07-04,8.9599,9.0175,9.049,8.9536,,-0.59%
2023-07-05,9.0114,8.9633,9.0341,8.9576,,0.57%
2023-07-06,9.0854,9.0146,9.1238,9.0049,,0.82%
2023-07-07,9.1337,9.0888,9.1551,9.0684,,0.53%
2023-07-10,9.1947,9.1308,9.2224,9.1154,,0.67%
2023-07-11,9.1985,9.1986,9.2273,9.1644,,0.04%
2023-07-12,9.2014,9.203,9.2916,9.1752,,0.03%
2023-07-13,9.1752,9.2039,9.2599,9.1303,,-0.28%
2023-07-14,9.1403,9.1793,9.2399,9.1007,,-0.38%
2023-07-17,9.104,9.1479,9.1794,9.0949,,-0.40%
2023-07-18,9.1108,9.1092,9.1683,9.0618,,0.07%
2023-07-19,9.069,9.1139,9.121,9.0392,,-0.46%
2023-07-20,9.1122,9.0772,9.1418,9.0499,,0.48%
2023-07-21,9.0692,9.12,9.1702,9.0386,,-0.47%
2023-07-24,9.051,9.0811,9.1031,9.0303,,-0.20%
2023-07-25,9.058,9.055,9.0885,9.0062,,0.08%
2023-07-26,9.0616,9.0599,9.1039,9.0358,,0.04%
2023-07-27,9.2047,9.067,9.2576,9.0323,,1.58%
2023-07-28,9.0157,9.2084,9.2587,9.0186,,-2.05%
2023-07-31,8.9794,9.0304,9.0722,8.9423,,-0.40%
2023-08-01,8.9925,8.9833,9.0367,8.9566,,0.15%
2023-08-02,9.0625,8.9957,9.1195,8.9925,,0.78%
2023-08-03,9.1114,9.0666,9.155,9.0217,,0.54%
2023-08-04,9.1979,9.1195,9.2171,9.0894,,0.95%
2023-08-07,9.1721,9.2002,9.2342,9.1504,,-0.28%
2023-08-08,9.1815,9.1794,9.2479,9.1351,,0.10%
2023-08-09,9.1357,9.1855,9.2252,9.1357,,-0.50%
2023-08-10,9.0971,9.1394,9.174,9.0713,,-0.42%
2023-08-11,9.1751,9.1018,9.2093,9.0868,,0.86%
2023-08-14,9.1901,9.1776,9.2131,9.1611,,0.16%
2023-08-15,9.1793,9.1916,9.2161,9.1617,,-0.12%
2023-08-16,9.1651,9.1831,9.2146,9.1639,,-0.15%
2023-08-17,9.1825,9.1725,9.2041,9.1478,,0.19%
