Date,Price,Open,High,Low,Vol.,Change %
2023-07-10,"1,924.99","1,925.19","1,928.31","1,912.68",,0.04%
2023-07-11,"1,931.99","1,925.40","1,938.69","1,924.40",,0.36%
2023-07-12,"1,957.09","1,932.59","1,959.82","1,932.18",,1.30%
2023-07-13,"1,960.19","1,957.44","1,963.69","1,952.71",,0.16%
2023-07-14,"1,954.93","1,961.58","1,963.81","1,951.00",,-0.27%
2023-07-17,"1,954.74","1,954.90","1,959.91","1,945.82",,-0.01%
2023-07-18,"1,978.71","1,954.59","1,984.39","1,954.44",,1.23%
2023-07-19,"1,977.25","1,978.97","1,981.05","1,969.75",,-0.07%
2023-07-20,"1,969.62","1,976.80","1,987.59","1,965.40",,-0.39%
2023-07-21,"1,960.23","1,969.99","1,973.89","1,956.82",,-0.48%
2023-07-24,"1,954.51","1,962.09","1,967.97","1,953.42",,-0.29%
2023-07-25,"1,964.58","1,955.20","1,966.03","1,953.21",,0.52%
2023-07-26,"1,972.10","1,964.99","1,978.31","1,961.99",,0.38%
2023-07-27,"1,944.99","1,972.08","1,982.24","1,942.61",,-1.38%
2023-07-28,"1,959.20","1,944.27","1,963.71","1,944.27",,0.73%
2023-07-31,"1,964.19","1,959.49","1,972.44","1,951.00",,0.25%
2023-08-01,"1,944.08","1,965.10","1,966.24","1,941.20",,-1.02%
2023-08-02,"1,933.56","1,945.74","1,955.40","1,933.00",,-0.54%
2023-08-03,"1,933.74","1,934.66","1,939.03","1,929.55",,0.01%
2023-08-04,"1,941.62","1,934.12","1,947.19","1,929.75",,0.41%
2023-08-07,"1,936.39","1,942.59","1,946.81","1,931.53",,-0.27%
2023-08-08,"1,924.82","1,936.76","1,938.15","1,922.50",,-0.60%
2023-08-09,"1,914.59","1,925.16","1,932.48","1,914.05",,-0.53%
2023-08-10,"1,912.06","1,914.94","1,930.11","1,911.73",,-0.13%
2023-08-11,"1,913.32","1,912.65","1,921.15","1,910.94",,0.07%
2023-08-14,"1,907.90","1,913.67","1,916.55","1,902.20",,-0.28%
2023-08-15,"1,901.56","1,907.40","1,912.19","1,896.15",,-0.33%
2023-08-16,"1,891.76","1,901.59","1,907.90","1,891.30",,-0.52%
2023-08-17,"1,888.89","1,892.20","1,903.90","1,884.50",,-0.15%
2023-08-18,"1,888.19","1,889.49","1,897.44","1,886.20",,-0.04%
2023-08-21,"1,893.94","1,889.40","1,899.05","1,884.50",,0.30%
2023-08-22,"1,897.47","1,895.09","1,905.05","1,888.60",,0.19%
2023-08-23,"1,914.31","1,897.80","1,920.94","1,897.23",,0.89%
2023-08-24,"1,917.43","1,914.15","1,923.94","1,911.35",,0.16%
2023-08-25,"1,914.53","1,917.80","1,923.09","1,903.40",,-0.15%
2023-08-28,"1,919.66","1,916.09","1,926.19","1,912.83",,0.27%
2023-08-29,"1,937.12","1,920.23","1,938.41","1,914.00",,0.91%
2023-08-30,"1,942.24","1,937.48","1,949.04","1,934.94",,0.26%
2023-08-31,"1,939.74","1,942.61","1,948.19","1,938.86",,-0.13%
2023-09-01,"1,938.80","1,940.19","1,953.44","1,934.59",,-0.05%
2023-09-04,"1,938.19","1,940.49","1,946.42","1,936.15",,-0.03%
2023-09-05,"1,925.81","1,938.59","1,939.13","1,925.22",,-0.64%
2023-09-06,"1,916.28","1,926.16","1,929.80","1,914.80",,-0.50%
2023-09-07,"1,919.19","1,916.86","1,923.67","1,916.10",,0.15%
2023-09-08,"1,917.81","1,919.57","1,930.19","1,917.36",,-0.07%
2023-09-11,"1,921.66","1,919.16","1,930.90","1,916.90",,0.20%
2023-09-12,"1,913.26","1,922.90","1,925.05","1,907.15",,-0.44%
2023-09-13,"1,906.30","1,913.55","1,916.30","1,905.50",,-0.36%
2023-09-14,"1,910.32","1,906.68","1,912.99","1,900.95",,0.21%
2023-09-15,"1,923.57","1,910.90","1,930.84","1,909.74",,0.69%
2023-09-18,"1,933.14","1,924.19","1,934.61","1,922.15",,0.50%
2023-09-19,"1,930.94","1,933.68","1,937.94","1,929.71",,-0.11%
2023-09-20,"1,929.68","1,931.69","1,947.80","1,927.90",,-0.07%
2023-09-21,"1,919.57","1,930.99","1,931.74","1,913.40",,-0.52%
2023-09-22,"1,924.99","1,920.08","1,929.65","1,919.58",,0.28%
2023-09-25,"1,915.66","1,925.24","1,927.26","1,915.00",,-0.48%
2023-09-26,"1,900.49","1,916.03","1,916.89","1,899.17",,-0.79%
2023-09-27,"1,874.70","1,900.69","1,903.95","1,872.47",,-1.36%
2023-09-28,"1,864.56","1,875.73","1,880.15","1,857.76",,-0.54%
2023-09-29,"1,848.31","1,865.43","1,880.24","1,846.34",,-0.87%
2023-10-02,"1,827.40","1,848.13","1,849.06","1,826.60",,-1.13%
2023-10-03,"1,822.81","1,827.96","1,833.36","1,814.70",,-0.25%
2023-10-04,"1,821.08","1,824.30","1,831.05","1,816.15",,-0.10%
2023-10-05,"1,820.01","1,820.49","1,829.30","1,812.70",,-0.06%
2023-10-06,"1,832.26","1,820.40","1,834.97","1,810.10",,0.67%
2023-10-09,"1,860.88","1,832.74","1,864.15","1,832.63",,1.56%
2023-10-10,"1,860.09","1,861.27","1,865.65","1,852.65",,-0.04%
2023-10-11,"1,873.61","1,859.99","1,877.22","1,858.60",,0.73%
2023-10-12,"1,868.65","1,874.10","1,885.30","1,866.92",,-0.26%
2023-10-13,"1,931.70","1,869.02","1,933.76","1,868.94",,3.37%
2023-10-16,"1,919.44","1,929.30","1,931.80","1,907.65",,-0.63%
2023-10-17,"1,923.07","1,920.14","1,931.56","1,911.85",,0.19%
2023-10-18,"1,947.69","1,923.70","1,962.74","1,923.05",,1.28%
2023-10-19,"1,973.70","1,947.99","1,977.86","1,945.18",,1.34%
2023-10-20,"1,981.04","1,974.31","1,997.27","1,971.93",,0.37%
2023-10-23,"1,972.59","1,972.90","1,983.40","1,964.36",,-0.43%
2023-10-24,"1,970.11","1,972.97","1,980.99","1,953.50",,-0.13%
2023-10-25,"1,979.62","1,971.36","1,987.19","1,963.34",,0.48%
2023-10-26,"1,984.82","1,979.97","1,994.05","1,971.60",,0.26%
2023-10-27,"2,005.78","1,985.17","2,009.48","1,976.35",,1.06%
2023-10-30,"1,995.88","2,004.80","2,007.37","1,990.50",,-0.49%
2023-10-31,"1,982.70","1,996.00","2,007.80","1,978.90",,-0.66%
2023-11-01,"1,982.15","1,983.01","1,992.09","1,969.90",,-0.03%
2023-11-02,"1,985.51","1,983.53","1,991.49","1,978.90",,0.17%
2023-11-03,"1,992.27","1,985.69","2,004.06","1,983.26",,0.34%
2023-11-06,"1,977.68","1,992.30","1,993.30","1,977.52",,-0.73%
2023-11-07,"1,968.40","1,978.19","1,978.75","1,956.20",,-0.47%
2023-11-08,"1,949.79","1,968.84","1,971.12","1,947.48",,-0.95%
2023-11-09,"1,958.19","1,950.09","1,965.69","1,944.30",,0.43%
2023-11-10,"1,936.79","1,958.40","1,960.93","1,933.18",,-1.09%
2023-11-13,"1,945.89","1,937.05","1,949.27","1,931.73",,0.47%
2023-11-14,"1,962.67","1,946.19","1,970.84","1,943.40",,0.86%
